date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2019-01-01,Amnat Charoen ,-1.2869867843277607,0.1481654954042119,-1.2783072608066033,-1.2647154054824163,0.22019414811251387,-1.3954384968263558,-1.250444917996637,0.0,0.0,1.0,0.0,0.0
2019-01-01,Ang Thong ,-0.28283198065915,0.6834773630248657,-0.288346010232537,0.1834252747829821,1.2177563460671132,-0.7815953404289169,0.16440091024218487,1.0,0.0,0.0,0.0,0.0
2019-01-01,Bueng Kan ,-0.24503022623005083,-0.3513728722769088,-0.21551592706252296,-0.3163388486374799,-0.36193945016439566,-0.09051874424183938,-0.2748763239392374,0.0,0.0,1.0,0.0,0.0
2019-01-01,Chachoengsao ,0.497960350420801,0.596232088965206,0.5229119118837942,1.5001860118204833,1.0327202044545103,-0.06914601801497483,1.4903519680395476,0.0,1.0,0.0,0.0,0.0
2019-01-01,Chainat ,-0.5054852442659415,-0.2121786334203376,-0.4792540032047991,-0.12663834519074604,0.015249776195730794,-0.451642100517973,-0.08978880849953445,1.0,0.0,0.0,0.0,0.0
2019-01-01,Chaiyaphum ,-0.002574486257836379,0.12977642748602283,0.02333313256920544,0.5133870251793743,0.15005154749994618,0.7413452850471455,0.5425304471668795,0.0,0.0,1.0,0.0,0.0
2019-01-01,Chanthaburi ,1.8145670523871475,1.6704443013538726,1.8112993556452681,1.4198583117310335,1.364213548976927,1.541605799588787,1.3921702244217766,0.0,1.0,0.0,0.0,0.0
2019-01-01,Chumphon ,1.1105142363972595,1.6770686147524914,1.0369490738709155,0.31894473129784484,1.5868656624933857,1.1270083633622543,0.24512675594071523,0.0,0.0,0.0,0.0,1.0
2019-01-01,Kalasin ,-0.5716879585555031,-0.08298826139846137,-0.5480865809378861,-0.3767233496954442,-0.02166246179169327,-0.6053815147623582,-0.3390795566254893,0.0,0.0,1.0,0.0,0.0
2019-01-01,Kamphaeng Phet ,-0.13013595163631822,0.7931387417333108,-0.13946155503634108,-0.1914026576569649,0.7598591062317724,0.13220086308086365,-0.1783693660718193,0.0,0.0,0.0,1.0,0.0
2019-01-01,Lamphun ,0.030638096597264235,1.0588324897663661,-0.0025184210236215776,0.33292891968757593,1.334447366122159,-0.4306370500562118,0.30307770193661826,0.0,0.0,0.0,1.0,0.0
2019-01-01,Lopburi ,1.0085964901472757,0.6547305829651614,1.049276250762125,1.489655403311797,0.7889127945566239,0.28810482843380786,1.4879960845896647,1.0,0.0,0.0,0.0,0.0
2019-01-01,Maha Sarakham ,-0.3960512081841761,0.26609904950841184,-0.3803707572250486,-0.2145566565472254,0.6574281078835018,0.12319317137201678,-0.1961574426075817,0.0,0.0,1.0,0.0,0.0
2019-01-01,Nakhon Nayok ,1.811219596429326,0.7257500028506644,1.883965314005295,1.548651046899063,0.8095428995479963,1.8499423473317174,1.545015853572099,0.0,1.0,0.0,0.0,0.0
2019-01-01,Nakhon Pathom ,0.8722650302483376,1.1852467190515956,0.8732448678993987,1.6475694110471202,1.6399791775193056,1.5394245344255224,1.5907232501996769,1.0,0.0,0.0,0.0,0.0
2019-01-01,Nakhon Sawan ,0.6939488263925301,0.8768141470324806,0.7122030032344724,0.9643402103097669,1.314859931926738,1.5309804083315686,0.9434731016119072,0.0,0.0,0.0,1.0,0.0
2019-01-01,Nan ,0.6426980209672162,0.9779112424517169,0.6514397261433991,0.2883438305515465,0.7516738605493191,1.1795704239787332,0.30456928727586546,0.0,0.0,0.0,1.0,0.0
2019-01-01,Narathiwat ,0.31302400896529126,2.2583762779001466,-0.832248187526921,-0.3059490059313937,2.3193275599109278,0.3373172836538522,-1.1438520742505467,0.0,0.0,0.0,0.0,1.0
2019-01-01,Nong Bua Lamphu ,-1.2175532133693094,-0.8611425510263633,-1.1804317861430287,-0.8684996888670959,-0.6579326245053436,-1.0377144915096042,-0.8264883501626199,0.0,0.0,1.0,0.0,0.0
2019-01-01,Pattani ,-0.7069569694149211,-0.34409114439644956,-0.6793299561800131,-1.2417811223149464,-0.6820614959802228,-0.830211087068689,-1.2046774981441473,0.0,0.0,0.0,0.0,1.0
2019-01-01,Phatthalung ,0.008891306454509662,0.28957889991022506,0.031174597673095893,0.3580960255442222,0.20620792933516927,0.6406052266325658,0.3884893335088429,0.0,0.0,0.0,0.0,1.0
2019-01-01,Phayao ,-0.1772787591403475,0.5811443914875114,-0.17191581912909232,-0.10369761882356647,0.9937434732776769,-0.21573209052395223,-0.10639227572001952,0.0,0.0,0.0,1.0,0.0
2019-01-01,Phichit ,-0.255251418101339,-0.20671706066658946,-0.22733575644739665,-0.3415192345931425,0.036976334789924965,0.14982821226390097,-0.30477259006042334,0.0,0.0,0.0,1.0,0.0
2019-01-01,Prachinburi ,1.1703744407114982,1.6015959700967177,1.123582559143018,0.9188194730942705,1.700875494541119,1.3463676877057384,0.8449825288528706,0.0,1.0,0.0,0.0,0.0
2019-01-01,Ranong ,0.7534743352892112,1.6396442549116645,0.6496837346932866,0.2581752816713579,1.3716449850786014,1.0040134471528728,0.22101787925647645,0.0,0.0,0.0,0.0,1.0
2019-01-01,Ratchaburi ,0.9892945668916344,0.980065732809972,1.0140784656315673,1.2895741363279423,1.1388053635294075,1.1467647511610377,1.2784856754875726,1.0,0.0,0.0,0.0,0.0
2019-01-01,Roi Et ,-0.39406226145149886,0.12438832526881335,-0.373795037150267,-0.05087275695141192,0.22996495641062845,0.06698500270009196,-0.01790538273812747,0.0,0.0,1.0,0.0,0.0
2019-01-01,Sakon Nakhon ,0.29009997642711227,-0.058474064497315674,0.3241732446808869,0.31574416048435566,-0.1734455565522887,0.6140262208142547,0.35078660428410496,0.0,0.0,1.0,0.0,0.0
2019-01-01,Samut Sakhon ,-0.0833000589074251,-0.30924702972193546,-0.05257705371980972,0.24083286014414307,-0.1376615225583799,0.4017730614425402,0.27651183634381477,1.0,0.0,0.0,0.0,0.0
2019-01-01,Samut Songkhram ,0.678574864698282,0.7982803347301859,0.7007462509195408,1.0522894844779596,1.0423483214567029,0.6005869175941848,1.0494638531891722,1.0,0.0,0.0,0.0,0.0
2019-01-01,Saraburi ,0.6879090038728428,1.012021530222004,0.695976495108232,1.0915605153021706,1.2709084220504607,1.0749417405002812,1.073927405815841,1.0,0.0,0.0,0.0,0.0
2019-01-01,Sing Buri ,-0.8049337677859107,-0.6187926404635111,-0.7740863430901224,-0.5967954101509477,-0.42374373008319216,-0.8282050916155407,-0.5549672874334676,1.0,0.0,0.0,0.0,0.0
2019-01-01,Sisaket ,0.4683046638462825,0.7174470591985781,0.48685084090959235,0.9316698991011064,0.8036355728064205,0.09542792914601184,0.9404984062224915,0.0,0.0,0.0,0.0,1.0
2019-01-01,Suphan Buri ,1.0872767344267076,0.326278584839502,1.1380333360613661,1.2865941629346438,0.6276470998501814,1.240350511143275,1.2934313586870902,1.0,0.0,0.0,0.0,0.0
2019-01-01,Tak ,1.584053456625065,1.26920285732268,1.618489889635843,1.3231528115712838,1.2533070473743102,2.365282125766494,1.3046702340370768,0.0,0.0,0.0,1.0,0.0
